;lines;magnitude;ikr;ikj;phase
0;(1, 2);0.9500489375566412;0.9496103105529907;-0.028865928773473826;-88.25887867403357
1;(1, 3);1.4178638794883713;1.2594485420336845;0.6512506051644338;62.65688268891141
2;(2, 3);0.3705584458574934;-0.18556650062637825;-0.3207469963095543;30.051303799229782
3;(2, 4);0.2727304685251577;-0.2346717536195529;0.13896429942642063;-59.36748537247668
4;(3, 5);0.31607366703257306;-0.29388961951814657;0.11632478038189839;-68.40578973028717
5;(4, 5);0.8159572529266271;-0.6751449024755853;-0.45822003367901765;55.835308882135905
6;(2, 1);0.9500489375566412;-0.9496103105529907;0.028865928773473826;-88.25887867403357
7;(3, 1);1.4178638794883713;-1.2594485420336845;-0.6512506051644338;62.65688268891141
8;(3, 2);0.3705584498419797;0.18556650062637825;0.3207470009128244;30.051303442798975
9;(4, 2);0.2944051434142863;0.07805715796145646;0.2838687523482758;15.374984816472017
10;(5, 3);0.3201799871300459;0.10708880619762168;0.30174030513964256;19.53997147730977
11;(5, 4);0.8159572529266271;0.6751449024755853;0.45822003367901765;55.835308882135905
