;bus;magnitude;vnr;vnj;phase
0;1;1.0839106774840275;0.9685075665151313;-0.4866779739898059;-63.32033388919163
1;2;1.068183465833863;0.9374207012303171;-0.5121116534367327;-61.352280158978594
2;3;1.0936960980923858;0.9846839133555698;-0.47599237994034127;-64.20105756532637
3;4;1.045340970895878;0.9344649764256209;-0.46852209474837053;-63.371727006835584
4;5;1.0401170953444954;0.9620420325495579;-0.3953715969006694;-67.65874788676908
5;6;1.0294018803661658;0.904455654889338;-0.49155691393784334;-61.47664041695702
6;7;1.0655981174271199;0.9280322826837404;-0.5236940234154179;-60.56370965157653
7;8;1.061932976951841;0.9002128580382497;-0.5633102677569488;-57.96363135180898
8;9;1.0997165295448226;0.9547266030044125;-0.5457779391563601;-60.24517221975934
9;10;1.0658546022390434;0.9205496253793312;-0.5372470756813132;-59.7314997975173
10;11;1.074498981153511;0.9666072822356369;-0.46927435731027245;-64.10407341369658
11;12;1.064045202244138;0.8995985193445104;-0.5682558371120646;-57.72033330659661
12;13;1.10000000001155;0.9150009370053572;-0.6105516237835491;-56.28605268758948
13;14;1.0563128697907276;0.8249314919557432;-0.6597612541406126;-51.34798256214713
14;15;1.0564005733800141;0.8237011531667982;-0.661436755638292;-51.23533564889701
15;16;1.0564923596824218;0.822470814377853;-0.6631122571359717;-51.12270787351202
16;17;1.100000000011671;0.9102506639535967;-0.6176113088324344;-55.84283911553544
17;18;1.0661115956392246;0.8944286682462081;-0.5801648832665833;-57.0308244093018
18;19;1.0778903943032814;0.9615329919328475;-0.48713653892512504;-63.1320919681806
19;20;1.0672393737202142;0.9337277958808589;-0.5168677626029584;-61.03315038830384
20;21;1.0978360695338658;0.9846839133555695;-0.4854293216816722;-63.757631797660544
21;22;1.0703225790178523;0.937385158462096;-0.5166231584534492;-61.13942498222025
